[run number],T,game-size,R,eps,S,percent-of-C,percent-of-FREE,percent-of-COMP,delta,percent-of-D,P,percent-of-FAKE,probablistic,[step],"count patches with [genome = ""COMP""]","count patches with [genome = ""C""]","count patches with [genome = ""D""]","count patches with [genome = ""FREE""]","count patches with [genome = ""FAKE""]"
218,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2593,0,0,8,0
220,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2586,0,0,15,0
219,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2574,0,0,27,0
221,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2597,0,0,4,0
222,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2574,0,0,27,0
224,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2584,0,0,17,0
225,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2587,0,0,14,0
223,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2598,0,0,3,0
227,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2595,0,0,6,0
226,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2601,0,0,0,0
228,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2577,0,0,24,0
229,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2565,0,0,36,0
230,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2593,0,0,8,0
231,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2597,0,0,4,0
232,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2523,15,0,63,0
233,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2572,0,0,29,0
234,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2585,0,0,16,0
235,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2586,0,0,15,0
236,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2597,0,0,4,0
237,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2593,0,0,8,0
238,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2601,0,0,0,0
239,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2592,0,0,9,0
240,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2591,0,0,10,0
242,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2548,12,0,41,0
243,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2594,0,0,7,0
244,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2431,40,0,130,0
241,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2584,0,0,17,0
245,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2584,0,0,17,0
